animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_cond,intake_type,intake_subtype,reason,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A724501,ROCKET,GUINEA PIG,BROWN,WHITE,Male,2024-01-12,2024-08-03,NORMAL,OWNER SURRENDER,OTC,COST,2024-08-25,1900 BLK FASHION AVE LONG BEACH CA 90810,LONG BEACH,RESCUE,OTHER RESC,33.7921398,-118.2089455,Alive on Intake,FALSE,1,"{'lon': -118.2089455, 'lat': 33.7921398}"
A607190,,CAT,WHITE,GRAY TABBY,Male,2018-04-20,2018-05-05,UNDER AGE/WEIGHT,STRAY,OTC,,2018-05-05,"1900 BLK FASHION AVE, LONG BEACH, CA 90810",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7921398,-118.2089455,Alive on Intake,TRUE,0,"{'lon': -118.2089455, 'lat': 33.7921398}"
A682364,,CAT,BRN TABBY,,Unknown,,2022-08-21,ILL SEVERE,STRAY,FIELD,,2022-08-21,"1900 BLK FASHION AVE, LONG BEACH, CA 90810",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7921398,-118.2089455,Alive on Intake,TRUE,0,"{'lon': -118.2089455, 'lat': 33.7921398}"
A607186,,CAT,GRAY TABBY,WHITE,Male,2018-04-20,2018-05-05,UNDER AGE/WEIGHT,STRAY,OTC,,2018-05-05,"1900 BLK FASHION AVE, LONG BEACH, CA 90810",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7921398,-118.2089455,Alive on Intake,TRUE,0,"{'lon': -118.2089455, 'lat': 33.7921398}"
A607194,,CAT,BLACK,WHITE,Male,2018-04-20,2018-05-05,UNDER AGE/WEIGHT,STRAY,OTC,,2018-05-05,"1900 BLK FASHION AVE, LONG BEACH, CA 90810",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7921398,-118.2089455,Alive on Intake,TRUE,0,"{'lon': -118.2089455, 'lat': 33.7921398}"
A672880,*ODDLE,DOG,WHITE,CREAM,Female,2014-04-10,2022-04-09,NORMAL,STRAY,OTC,,2022-04-16,"1900 BLK FASHION AVE, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,,33.7921398,-118.2089455,Alive on Intake,FALSE,1,"{'lon': -118.2089455, 'lat': 33.7921398}"
A682178,*CHRISTINE,RABBIT,BLACK,,Spayed,2016-08-18,2022-08-18,NORMAL,STRAY,OTC,,2022-09-18,"1900 BLK GOLDEN RAIN RD, SEAL BEACH, CA 90740",SEAL BEACH,ADOPTION,WEB,33.7677406,-118.0780811,Alive on Intake,FALSE,1,"{'lon': -118.0780811, 'lat': 33.7677406}"
A727165,*RORY,CAT,WHITE,BLACK,Neutered,2024-06-01,2024-08-20,NORMAL,WELFARE SEIZED,,,2024-09-26,"1900 BLK HARBOR AVE, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,WEB,33.7918583,-118.2101233,Alive on Intake,FALSE,1,"{'lon': -118.2101233, 'lat': 33.7918583}"
A727157,PRINCESS TORTIE,CAT,TORBI,,Spayed,,2024-08-20,NORMAL,WELFARE SEIZED,,,2024-08-30,"1900 BLK HARBOR AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,LITTLELION,33.7918583,-118.2101233,Alive on Intake,FALSE,1,"{'lon': -118.2101233, 'lat': 33.7918583}"
A727160,*JANE,CAT,BLACK,WHITE,Spayed,2024-06-15,2024-08-20,NORMAL,WELFARE SEIZED,,,2024-09-26,"1900 BLK HARBOR AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,LITTLELION,33.7918583,-118.2101233,Alive on Intake,FALSE,1,"{'lon': -118.2101233, 'lat': 33.7918583}"
A696229,LUNA,DOG,BLACK,,Female,2017-09-28,2023-09-28,BEHAVIOR  SEVERE,OWNER SURRENDER,OTC,BITES,2023-10-06,1900 BLK HARDWICK STREET LONG BEACH CA 90807,LONG BEACH,EUTHANASIA,BEH SEVERE,33.8505275,-118.1704159,Alive on Intake,TRUE,0,"{'lon': -118.1704159, 'lat': 33.8505275}"
A723976,*SCABBERS,CAT,WHITE,GRAY TABBY,Male,2022-07-05,2024-07-05,ILL MODERATETE,STRAY,OTC,,2024-07-09,1900 BLK HENDERSON AVE LONG BEACH CA 90806,LONG BEACH,DIED,IN KENNEL,33.7917434,-118.1974135,Alive on Intake,TRUE,0,"{'lon': -118.1974135, 'lat': 33.7917434}"
A699238,*KELLIN,CAT,GRAY,WHITE,Spayed,2023-04-23,2023-05-23,ILL MILD,STRAY,FIELD,,2023-05-31,"1900 BLK HENDERSON AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,,33.7917434,-118.1974135,Alive on Intake,FALSE,1,"{'lon': -118.1974135, 'lat': 33.7917434}"
A699239,*KIAN,CAT,GRAY,WHITE,Neutered,2023-04-23,2023-05-23,ILL MILD,STRAY,FIELD,,2023-05-31,"1900 BLK HENDERSON AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,,33.7917434,-118.1974135,Alive on Intake,FALSE,1,"{'lon': -118.1974135, 'lat': 33.7917434}"
A736188,,OTHER,GRAY,BLACK,Unknown,2023-01-29,2025-01-29,INJURED  SEVERE,WILDLIFE,FIELD,,2025-01-29,1900 BLK LAVE AVE LONG BEACH CA 90815,LONG BEACH,TRANSFER,WETLANDS,33.7908485,-118.1202295,Alive on Intake,FALSE,1,"{'lon': -118.1202295, 'lat': 33.7908485}"
A649494,LACEY,CAT,GRAY TABBY,BLACK,Female,2020-09-28,2020-10-01,UNDER AGE/WEIGHT,STRAY,OTC,,2020-12-09,"1900 BLK LEES AVE, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,,33.7903315,-118.0980639,Alive on Intake,FALSE,1,"{'lon': -118.0980639, 'lat': 33.7903315}"
A649496,MEYA,CAT,CALICO,,Female,2020-09-28,2020-10-01,UNDER AGE/WEIGHT,STRAY,OTC,,2020-12-09,"1900 BLK LEES AVE, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,,33.7903315,-118.0980639,Alive on Intake,FALSE,1,"{'lon': -118.0980639, 'lat': 33.7903315}"
A711878,*EMMETT,DOG,BLACK,WHITE,Neutered,2023-02-21,2023-12-14,NORMAL,STRAY,OTC,,2024-02-21,1900 BLK LEMON AVE LONG BEACH CA 90806,LONG BEACH,ADOPTION,WEB,33.7912724,-118.1784109,Alive on Intake,FALSE,1,"{'lon': -118.1784109, 'lat': 33.7912724}"
A629865,,CAT,CALICO,,Spayed,2019-06-13,2019-07-13,UNDER AGE/WEIGHT,STRAY,OTC,,2019-08-12,"1900 BLK LEMON AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,,33.7912724,-118.1784109,Alive on Intake,FALSE,1,"{'lon': -118.1784109, 'lat': 33.7912724}"
A736265,*PASSIONFRUIT,DOG,TAN,,Spayed,2024-05-31,2025-02-02,NORMAL,STRAY,OTC,,2025-02-13,"1900 BLK LEMON AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,WEB,33.7912724,-118.1784109,Alive on Intake,FALSE,1,"{'lon': -118.1784109, 'lat': 33.7912724}"
A723440,,DOG,TAN,,Female,2021-06-26,2024-06-26,INJURED  MODERATE,STRAY,FIELD,,2024-06-27,1900 BLK LEWIS AVE,LONG BEACH,EUTHANASIA,AT VET,33.79128470000001,-118.1794917,Alive on Intake,TRUE,0,"{'lon': -118.1794917, 'lat': 33.79128470000001}"
A593033,,CAT,BLACK,WHITE,Female,2016-07-06,2017-07-06,INJURED  SEVERE,STRAY,FIELD,,2017-07-06,"1900 BLK LIME AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,AT VET,33.7917036,-118.1839546,Alive on Intake,TRUE,0,"{'lon': -118.1839546, 'lat': 33.7917036}"
A597110,,CAT,TORTIE,,Female,2017-09-01,2017-09-15,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-09-15,"1900 BLK LIME AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,LITTLELION,33.7917036,-118.1839546,Alive on Intake,FALSE,1,"{'lon': -118.1839546, 'lat': 33.7917036}"
A690318,ODIN,DOG,WHITE,,Neutered,2022-09-15,2022-12-09,NORMAL,STRAY,OTC,,2022-12-16,"1900 BLK LOCUS AVE. LONG BEACH, CA 90813",LONG BEACH,HOMEFIRST,,33.7918121,-118.1907792,Alive on Intake,FALSE,1,"{'lon': -118.1907792, 'lat': 33.7918121}"
A696834,*VALERIE,DOG,BLUE,WHITE,Spayed,2019-04-15,2023-04-15,NORMAL,STRAY,FIELD,,2023-07-26,1900 BLK LOCUST AVE,LONG BEACH,ADOPTION,,33.7918121,-118.1907792,Alive on Intake,FALSE,1,"{'lon': -118.1907792, 'lat': 33.7918121}"
A645255,*ENCANTO,CAT,BRN TABBY,,Neutered,2017-07-09,2020-07-09,FRACTIOUS,STRAY,TRAP,,2020-07-14,"1900 BLK LOCUST AVE, LONG BEACH, CA 90806",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,33.7918121,-118.1907792,Alive on Intake,FALSE,1,"{'lon': -118.1907792, 'lat': 33.7918121}"
A695574,MOJO,DOG,BLACK,TAN,Neutered,2021-03-26,2025-03-06,NORMAL,WELFARE SEIZED,POLICE,,2025-03-23,"1900 BLK LONG BEACH BLVD, LB 90806",LONG BEACH,RESCUE,MUTTSINEED,33.792138,-118.188935,Alive on Intake,FALSE,1,"{'lon': -118.188935, 'lat': 33.792138}"
A671562,*ALICE HOPPER,RABBIT,WHITE,,Neutered,2021-09-11,2022-03-11,NORMAL,STRAY,OTC,,2022-05-12,"1900 BLK LONG BEACH BLVD, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,WEB,33.792138,-118.188935,Alive on Intake,FALSE,1,"{'lon': -118.188935, 'lat': 33.792138}"
A671500,CAPTAIN,DOG,WHITE,,Male,2020-03-10,2022-03-10,INJURED  SEVERE,STRAY,OTC,,2022-03-11,"1900 BLK LONG BEACH BLVD, LONG BEACH, CA 90806",LONG BEACH,RETURN TO OWNER,WALKIN,33.792138,-118.188935,Alive on Intake,FALSE,1,"{'lon': -118.188935, 'lat': 33.792138}"
A731698,,CAT,WHITE,BLACK,Male,2021-11-01,2024-11-01,ILL MODERATETE,STRAY,FIELD,,2024-11-06,1900 BLK MAGNOLIA AVE,LONG BEACH,DIED,IN KENNEL,33.7918693,-118.1979028,Alive on Intake,TRUE,0,"{'lon': -118.1979028, 'lat': 33.7918693}"
A715719,*WILLA,DOG,BLACK,,Female,2014-02-27,2024-02-27,INJURED  MODERATE,STRAY,FIELD,,2024-03-29,"1900 BLK MAGNOLIA AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,K9KISMET,33.7918693,-118.1979028,Alive on Intake,FALSE,1,"{'lon': -118.1979028, 'lat': 33.7918693}"
A587579,,WILD,BLACK,WHITE,Unknown,2017-03-24,2017-03-25,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2017-03-25,"1900 BLK MAINE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.7916968,-118.2006218,Alive on Intake,TRUE,0,"{'lon': -118.2006218, 'lat': 33.7916968}"
A662625,,CAT,BRN TABBY,WHITE,Unknown,2021-05-28,2021-08-28,INJURED  SEVERE,STRAY,FIELD,,2021-08-28,"1900 BLK MAINE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,AT VET,33.7916968,-118.2006218,Alive on Intake,TRUE,0,"{'lon': -118.2006218, 'lat': 33.7916968}"
A587577,,WILD,BLACK,WHITE,Unknown,2017-03-24,2017-03-25,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2017-03-25,"1900 BLK MAINE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.7916968,-118.2006218,Alive on Intake,TRUE,0,"{'lon': -118.2006218, 'lat': 33.7916968}"
A705064,,CAT,ORANGE,WHITE,Unknown,,2023-08-17,ILL SEVERE,STRAY,FIELD,,2023-08-17,"1900 BLK MARTIN LUTHER KING JR. AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,AT VET,33.7914622,-118.1803622,Alive on Intake,TRUE,0,"{'lon': -118.1803622, 'lat': 33.7914622}"
A310785,BUTTERCUP,DOG,BLACK,,Spayed,2007-01-29,2018-09-02,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2018-09-03,"1900 BLK MYRTLE AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7918069,-118.181593,Alive on Intake,FALSE,1,"{'lon': -118.181593, 'lat': 33.7918069}"
A637905,,DOG,TAN,,Female,2011-12-28,2019-12-26,INJURED  MILD,STRAY,OTC,,2020-01-02,"1900 BLK MYRTLE AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,AHM4EVER,33.7918069,-118.181593,Alive on Intake,FALSE,1,"{'lon': -118.181593, 'lat': 33.7918069}"
A725127,*YOGI,CAT,ORG TABBY,,Neutered,2024-06-08,2024-07-19,ILL MILD,STRAY,OTC,,2024-09-12,1900 BLK N LIME AVE LONG BEACH CA 90806,LONG BEACH,ADOPTION,WEB,33.7917036,-118.1839546,Alive on Intake,FALSE,1,"{'lon': -118.1839546, 'lat': 33.7917036}"
A725128,*FROMANDO,CAT,ORG TABBY,,Neutered,2024-06-08,2024-07-19,ILL MILD,STRAY,OTC,,2024-09-04,1900 BLK N LIME AVE LONG BEACH CA 90806,LONG BEACH,ADOPTION,WEB,33.7917036,-118.1839546,Alive on Intake,FALSE,1,"{'lon': -118.1839546, 'lat': 33.7917036}"
A691612,SPARKLE,DOG,TAN,,Female,,2023-01-08,NORMAL,STRAY,OTC,,2023-01-08,"1900 BLK N. LAKEWOOD BLVD, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,FRE RID HM,33.7918168,-118.1423946,Alive on Intake,FALSE,1,"{'lon': -118.1423946, 'lat': 33.7918168}"
A698294,*ESTEBAN,CAT,WHITE,BLACK,Male,2023-03-05,2023-05-05,NORMAL,STRAY,OTC,,2023-06-07,1900 BLK OLIVE AVE LB CA 90806,LONG BEACH,TRANSFER,SPCALA,33.7916675,-118.1828537,Alive on Intake,FALSE,1,"{'lon': -118.1828537, 'lat': 33.7916675}"
A698307,*QWINN,CAT,GRAY,,Spayed,2022-05-05,2023-05-05,NORMAL,STRAY,OTC,,2023-06-01,1900 BLK OLIVE AVE LB CA 90806,LONG BEACH,COMMUNITY CAT,,33.7916675,-118.1828537,Alive on Intake,FALSE,1,"{'lon': -118.1828537, 'lat': 33.7916675}"
A685025,*OLIVE 3,CAT,BLACK,WHITE,Male,2022-09-17,2022-09-23,UNDER AGE/WEIGHT,STRAY,OTC,,2022-09-23,"1900 BLK OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,INJ SEVERE,33.7916675,-118.1828537,Alive on Intake,TRUE,0,"{'lon': -118.1828537, 'lat': 33.7916675}"
A685024,*OLIVE 2,CAT,WHITE,BLACK,Male,2022-09-17,2022-09-23,UNDER AGE/WEIGHT,STRAY,OTC,,2022-09-23,"1900 BLK OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7916675,-118.1828537,Alive on Intake,TRUE,0,"{'lon': -118.1828537, 'lat': 33.7916675}"
A653688,,CAT,BLACK,WHITE,Male,2021-01-04,2021-02-04,ILL MILD,STRAY,OTC,,2021-02-04,"1900 BLK OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,INJ SEVERE,33.7916675,-118.1828537,Alive on Intake,TRUE,0,"{'lon': -118.1828537, 'lat': 33.7916675}"
A635375,*KIM,CAT,BRN TABBY,WHITE,Spayed,2018-10-25,2019-10-25,NORMAL,STRAY,OTC,,2019-12-23,"1900 BLK PACIFIC AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7918776,-118.193333,Alive on Intake,FALSE,1,"{'lon': -118.193333, 'lat': 33.7918776}"
A679919,KENZO,CAT,GRAY TABBY,,Neutered,2022-04-15,2022-08-08,NORMAL,RETURN,ADOPTION,,2022-08-14,"1900 BLK PACIFIC AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,,33.7918776,-118.193333,Alive on Intake,FALSE,1,"{'lon': -118.193333, 'lat': 33.7918776}"
A719259,SABER,DOG,WHITE,TAN,Neutered,2022-04-20,2024-04-20,NORMAL,STRAY,OTC,,2024-04-20,1900 BLK PATTIZ AVE LONG BEACH CA 90815,LONG BEACH,RETURN TO OWNER,FRE RID HM,33.79013279999999,-118.0942727,Alive on Intake,FALSE,1,"{'lon': -118.0942727, 'lat': 33.79013279999999}"
A646113,,CAT,BLACK,WHITE,Female,2020-06-08,2020-07-23,UNDER AGE/WEIGHT,STRAY,FIELD,,2020-07-24,"1900 BLK PINE AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7918307,-118.1920571,Alive on Intake,FALSE,1,"{'lon': -118.1920571, 'lat': 33.7918307}"
A640334,*NOODLES,CAT,BROWN,GRAY,Male,2018-02-22,2020-02-22,INJURED  MILD,STRAY,OTC,,2020-02-28,"1900 BLK PINE AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7918307,-118.1920571,Alive on Intake,FALSE,1,"{'lon': -118.1920571, 'lat': 33.7918307}"
A646112,,CAT,BRN TABBY,WHITE,Male,2020-06-08,2020-07-23,UNDER AGE/WEIGHT,STRAY,FIELD,,2020-07-24,"1900 BLK PINE AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7918307,-118.1920571,Alive on Intake,FALSE,1,"{'lon': -118.1920571, 'lat': 33.7918307}"
A665109,,WILD,GRAY,BLACK,Unknown,2019-10-10,2021-10-10,ILL SEVERE,WILDLIFE,FIELD,,2021-10-10,"1900 BLK PINE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7918307,-118.1920571,Alive on Intake,TRUE,0,"{'lon': -118.1920571, 'lat': 33.7918307}"
A740672,,CAT,GRAY,,Unknown,,2025-05-13,INJURED  SEVERE,STRAY,FIELD,,2025-05-13,"1900 BLK PINE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,AT VET,33.7918307,-118.1920571,Alive on Intake,TRUE,0,"{'lon': -118.1920571, 'lat': 33.7918307}"
A715199,,CAT,UNKNOWN,,Unknown,,2024-02-17,UNDER AGE/WEIGHT,OWNER SURRENDER,OTC,OWNER PROB,2024-02-17,1900 BLK RAYMOND AVE SIGNAL HILL CA 90755,SIGNAL HILL,EUTHANASIA,INJ SEVERE,33.7918753,-118.1642211,Alive on Intake,TRUE,0,"{'lon': -118.1642211, 'lat': 33.7918753}"
A703241,,CAT,WHITE,BLACK,Unknown,2023-07-18,2023-07-21,UNDER AGE/WEIGHT,STRAY,OTC,,2023-07-21,1900 BLK RAYMOND AVE SIGNAL HILL CA 90755,SIGNAL HILL,EUTHANASIA,UNDRAGE/WT,33.7918753,-118.1642211,Alive on Intake,TRUE,0,"{'lon': -118.1642211, 'lat': 33.7918753}"
A729973,,CAT,WHITE,BRN TABBY,Male,,2024-10-11,ILL MODERATETE,STRAY,OTC,,2024-10-11,1900 BLK RAYMOND AVE SIGNAL HILL CA 90755,SIGNAL HILL,EUTHANASIA,ILL SEVERE,33.7918753,-118.1642211,Alive on Intake,TRUE,0,"{'lon': -118.1642211, 'lat': 33.7918753}"
A703242,,CAT,WHITE,BLACK,Unknown,2023-07-18,2023-07-21,UNDER AGE/WEIGHT,STRAY,OTC,,2023-07-21,1900 BLK RAYMOND AVE SIGNAL HILL CA 90755,SIGNAL HILL,EUTHANASIA,UNDRAGE/WT,33.7918753,-118.1642211,Alive on Intake,TRUE,0,"{'lon': -118.1642211, 'lat': 33.7918753}"
A703244,,CAT,WHITE,BLACK,Unknown,2023-07-18,2023-07-21,UNDER AGE/WEIGHT,STRAY,OTC,,2023-07-21,1900 BLK RAYMOND AVE SIGNAL HILL CA 90755,SIGNAL HILL,EUTHANASIA,UNDRAGE/WT,33.7918753,-118.1642211,Alive on Intake,TRUE,0,"{'lon': -118.1642211, 'lat': 33.7918753}"
A703245,,CAT,WHITE,BLACK,Unknown,2023-07-18,2023-07-21,UNDER AGE/WEIGHT,STRAY,OTC,,2023-07-21,1900 BLK RAYMOND AVE SIGNAL HILL CA 90755,SIGNAL HILL,EUTHANASIA,UNDRAGE/WT,33.7918753,-118.1642211,Alive on Intake,TRUE,0,"{'lon': -118.1642211, 'lat': 33.7918753}"
A702074,,CAT,GRAY TABBY,,Unknown,2023-06-17,2023-06-30,UNDER AGE/WEIGHT,STRAY,OTC,,2023-06-30,1900 BLK RAYMOND AVE SIGNAL HILL CA 90755,SIGNAL HILL,EUTHANASIA,ILL SEVERE,33.7918753,-118.1642211,Alive on Intake,TRUE,0,"{'lon': -118.1642211, 'lat': 33.7918753}"
A591061,,CAT,BLACK,WHITE,Male,2017-04-16,2017-05-31,UNDER AGE/WEIGHT,STRAY,OTC,,2017-05-31,"1900 BLK SAINT LOUIS AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,TRANSFER,SPCALA,33.7916894,-118.1665616,Alive on Intake,FALSE,1,"{'lon': -118.1665616, 'lat': 33.7916894}"
A698515,SABRINA,DOG,BROWN,WHITE,Female,2020-05-06,2023-05-10,NORMAL,STRAY,OTC,,2023-05-10,1900 BLK SAN FRANCISCO AVE 90806,LONG BEACH,RETURN TO OWNER,FRE RID HM,33.791689,-118.2034938,Alive on Intake,FALSE,1,"{'lon': -118.2034938, 'lat': 33.791689}"
A629030,,OTHER,BLACK,WHITE,Unknown,2019-04-28,2019-06-28,ILL SEVERE,WILDLIFE,FIELD,,2019-06-28,"1900 BLK SAN FRANCISCO AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,ILL SEVERE,33.791689,-118.2034938,Alive on Intake,TRUE,0,"{'lon': -118.2034938, 'lat': 33.791689}"
A672411,,OTHER,GRAY,,Unknown,2022-02-28,2022-03-28,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2022-03-28,"1900 BLK SAN FRANCISCO AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,OTHER RESC,33.791689,-118.2034938,Alive on Intake,FALSE,1,"{'lon': -118.2034938, 'lat': 33.791689}"
A611170,*GEORGIA,DOG,BLUE,WHITE,Female,2016-07-16,2018-07-16,NORMAL,STRAY,FIELD,,2018-07-24,"1900 BLK SANTA FE AVE, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,33.7916829,-118.2153992,Alive on Intake,FALSE,1,"{'lon': -118.2153992, 'lat': 33.7916829}"
A621278,,CAT,ORG TABBY,,Male,2015-02-03,2019-02-03,FRACTIOUS,STRAY,OTC,,2019-02-19,"1900 BLK SHIPWAY AVE, LONG BEACH, CA 90815",LONG BEACH,EUTHANASIA,BEH SEVERE,33.7903574,-118.0950634,Alive on Intake,TRUE,0,"{'lon': -118.0950634, 'lat': 33.7903574}"
A702446,*FINN,DOG,TAN,CREAM,Neutered,2020-07-06,2023-07-06,NORMAL,STRAY,FIELD,,2023-07-27,"1900 BLK ST LOUIS AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,ADOPTION,,33.7916894,-118.1665616,Alive on Intake,FALSE,1,"{'lon': -118.1665616, 'lat': 33.7916894}"
A710398,,OTHER,GRAY,,Male,2023-05-12,2023-11-12,INJURED  MODERATE,WILDLIFE,FIELD,,2023-11-12,"1900 BLK STEVELY AVE, LONG BEACH,CA",LONG BEACH,TRANSFER,OTHER WILD,33.7897648,-118.0935401,Alive on Intake,FALSE,1,"{'lon': -118.0935401, 'lat': 33.7897648}"
A669996,*TIMOTHY,DOG,BROWN,WHITE,Male,2019-02-01,2022-02-01,INJURED  SEVERE,STRAY,FIELD,,2022-02-26,"1900 BLK W PACIFIC COAST HWY, LB 90810",LONG BEACH,RESCUE,SPARKYGANG,33.7898134,-118.2176592,Alive on Intake,FALSE,1,"{'lon': -118.2176592, 'lat': 33.7898134}"
A640309,RANGER,DOG,BLUE,WHITE,Neutered,2019-02-22,2020-02-22,NORMAL,STRAY,OTC,,2020-03-04,"1900 BLK W PACIFIC COAST HWY, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,WALKIN,33.7898134,-118.2176592,Alive on Intake,FALSE,1,"{'lon': -118.2176592, 'lat': 33.7898134}"
A666763,BOBA,CAT,BLACK,,Neutered,2021-09-13,2021-11-13,ILL MILD,STRAY,OTC,,2021-11-24,"1900 BLK W PIER D ST, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,WEB,33.7627257,-118.2177744,Alive on Intake,FALSE,1,"{'lon': -118.2177744, 'lat': 33.7627257}"
A726326,*KALAMAZOO,DOG,GOLD,,Neutered,2023-10-07,2024-08-07,NORMAL,STRAY,OTC,,2024-08-15,"1900 BLK WALNUT AVE, LONG BEACH 90806",LONG BEACH,ADOPTION,WEB,33.7918522,-118.1717297,Alive on Intake,FALSE,1,"{'lon': -118.1717297, 'lat': 33.7918522}"
A592881,,WILD,BLACK,WHITE,Unknown,,2017-07-03,INJURED  MODERATE,WILDLIFE,FIELD,,2017-07-03,"1900 BLK WALNUT AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7918522,-118.1717297,Alive on Intake,TRUE,0,"{'lon': -118.1717297, 'lat': 33.7918522}"
A683837,,CAT,BRN TABBY,WHITE,Female,2018-09-13,2022-09-13,ILL SEVERE,STRAY,FIELD,,2022-09-14,"1900 BLK WALNUT AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,AT VET,33.7918522,-118.1717297,Alive on Intake,TRUE,0,"{'lon': -118.1717297, 'lat': 33.7918522}"
A635374,SKY,CAT,LILAC PT,WHITE,Spayed,2018-10-25,2019-10-25,NORMAL,STRAY,OTC,,2019-11-08,"1900 BLK. PACIFIC AVE. LB, CA 90806",LONG BEACH,ADOPTION,WALKIN,33.7918776,-118.193333,Alive on Intake,FALSE,1,"{'lon': -118.193333, 'lat': 33.7918776}"
A708957,*FRIESIAN,CAT,GRAY,WHITE,Male,2023-09-11,2023-10-18,ILL MILD,STRAY,OTC,,2024-01-05,1900 BLKK LEMON AVE LONG BEACH CA 90806,LONG BEACH,TRANSFER,OTHER RESC,33.815278,-118.1784991,Alive on Intake,FALSE,1,"{'lon': -118.1784991, 'lat': 33.815278}"
A704388,DONG TAO,BIRD,BROWN,RED,Male,,2023-08-06,NORMAL,STRAY,OTC,,2023-08-10,"1900 BLOCK E 64TH ST, LONG BEACH CA",LONG BEACH,RESCUE,WARDSMTN,33.8707611,-118.1695313,Alive on Intake,FALSE,1,"{'lon': -118.1695313, 'lat': 33.8707611}"
A694397,KISMET,CAT,BLACK,WHITE,Spayed,2022-11-09,2023-03-09,NORMAL,STRAY,OTC,,2023-03-10,1900 BLOCK E 6TH ST,LONG BEACH,RESCUE,CATPAWS,33.7742462,-118.1686998,Alive on Intake,FALSE,1,"{'lon': -118.1686998, 'lat': 33.7742462}"
A694398,KARMA,CAT,BLACK,WHITE,Spayed,2022-11-09,2023-03-09,NORMAL,STRAY,OTC,,2023-03-10,1900 BLOCK E 6TH ST,LONG BEACH,RESCUE,CATPAWS,33.7742462,-118.1686998,Alive on Intake,FALSE,1,"{'lon': -118.1686998, 'lat': 33.7742462}"
A704666,,CAT,BLACK,WHITE,Spayed,2023-07-11,2023-08-11,UNDER AGE/WEIGHT,STRAY,OTC,,2023-08-16,"1900 BLOCK E POPPY ST, LONG BEACH",LONG BEACH,RESCUE,CATPAWS,33.868133,-118.1695225,Alive on Intake,FALSE,1,"{'lon': -118.1695225, 'lat': 33.868133}"
